id,mssv,listening,reading,total,mamh,ghichu, listening, reading, mamh, ghichu,namkhoahoc,hedt,pass_avsc
1.0,DA75FFFEXPvAibaEXe8808q51BnmQhHT8REwWMQJ, NULL, NULL,15.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
2.0,336B9F53XPvAibaEXe/jd8ghaf1GTNPSHNuhAHTZ, NULL, NULL,15.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
3.0,67A51DC3XPvAibaEXe/7YVAxOsMwOtCFvKInEQ0e, NULL, NULL,16.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
4.0,387E2EFEXPvAibaEXe96K1aB3B4cKSj8mKKciukN, NULL, NULL,16.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
6.0,13D900A2XPvAibaEXe97wmuqTYuV7bJOKimbzKxM, NULL, NULL,18.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
7.0,AD5DDB61XPvAibaEXe97wmuqTYuV7bFPojsU1F+x, NULL, NULL,18.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
8.0,EBC55C2BXPvAibaEXe/7YVAxOsMwOk0EasYVdFSG, NULL, NULL,18.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
9.0,31656E5EXPvAibaEXe9N+b7C2VGPszP5c8rfamtp, NULL, NULL,18.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
10.0,CBB55F72XPvAibaEXe9Hp2TeoSwCGX/R/AU50aAF, NULL, NULL,19.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
11.0,40D2257DXPvAibaEXe9Hp2TeoSwCGTMp/uHWnnOo, NULL, NULL,19.0,Anh văn bổ túc, NULL,,,,,2016, CLC,False
13.0,CB6377B6XPvAibaEXe8808q51BnmQgFXOVlspk8F, NULL, NULL,20.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
14.0,1C5409B8XPvAibaEXe+/1KYXP+fweAeOyBmRMHFS, NULL, NULL,20.0,Anh văn bổ túc, NULL,,,,,2016, CLC,False
15.0,09DAA20BXPvAibaEXe8cJKtXZaLmvUsH6H9yaOrj, NULL, NULL,20.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
16.0,D3C8FCBFXPvAibaEXe9uaaZ/YedHVE2vFI3CwdF0, NULL, NULL,20.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
19.0,E16A784CXPvAibaEXe96K1aB3B4cKVqj15x8J3Fa, NULL, NULL,22.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
20.0,D9987866XPvAibaEXe+5AEinM7he3nNXvaIkjIqo, NULL, NULL,22.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
21.0,DE53507FXPvAibaEXe+fEAEfw3o+Ko6TvTSgijy3, NULL, NULL,22.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
22.0,158FB8C2XPvAibaEXe+x/3KKGWxYH2pEsBjyxoBO, NULL, NULL,22.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
23.0,6D8F53BDXPvAibaEXe8cJKtXZaLmvZGbeRUvU9Ym, NULL, NULL,22.0,Anh văn bổ túc, NULL,,,,,2016, CLC,False
24.0,D40A5224XPvAibaEXe/sW+jVmHnQGrpyj9mM/5XW, NULL, NULL,22.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
25.0,751C5CD8XPvAibaEXe8OoiZ7Qg2eT/MgIge5XLta, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CTTT,False
26.0,E1E49AA0XPvAibaEXe9uaaZ/YedHVPiewa5uM8QS, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CLC,False
27.0,1B5C151DXPvAibaEXe9CFhTkHod3yUw8wiccXxfg, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
28.0,EE124006XPvAibaEXe+x/3KKGWxYH5eE8fYkddOq, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
29.0,BE04727AXPvAibaEXe8OoiZ7Qg2eT9tClu4Cs32M, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
30.0,4E3B2E64XPvAibaEXe93t/fGOsRpn05lMH4zm7Cp, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
31.0,0A29A66BXPvAibaEXe9CFhTkHod3yS4qPQKSYcEO, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
33.0,49ABC5EFXPvAibaEXe8eWl5Nr7OWQt3VotR9dXYx, NULL, NULL,23.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
34.0,789C02AAXPvAibaEXe+/1KYXP+fweK/y54Tvf704, NULL, NULL,24.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
35.0,A111A056XPvAibaEXe88G96lR9q/HbP6O5OR4CqK, NULL, NULL,24.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
36.0,6BDC0FB3XPvAibaEXe+5AEinM7he3oT9mkidxPDW, NULL, NULL,24.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
37.0,C805294BXPvAibaEXe8cJKtXZaLmvXmkH+PgfnFb, NULL, NULL,24.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
38.0,8474C347XPvAibaEXe+/1KYXP+fweAETvLS68nEF, NULL, NULL,24.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
39.0,E0C52A16XPvAibaEXe904Wq1lYkfi/ntiwVmPGZr, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
40.0,8A73C0A4XPvAibaEXe9uaaZ/YedHVG4ke7HP5CVh, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
41.0,E679EB47XPvAibaEXe+eIy6TmCsZuwhDZyQzJ/il, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
42.0,ACC6BE03XPvAibaEXe/7jEMhYBA6GZiEn3v4da33, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
43.0,7BAE4D59XPvAibaEXe/04IiIK7okBc/e3nqwl6Yl, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
44.0,E7959B13XPvAibaEXe93t/fGOsRpn/6DkGbVhKDL, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
45.0,CF820E88XPvAibaEXe88G96lR9q/HWQHdno6Q1dE, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
46.0,B3BB25C7XPvAibaEXe8E8MfopOpLfow3YpFUxKb9, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
47.0,F4F90434XPvAibaEXe/04IiIK7okBT/n8bF22cJ4, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
48.0,27A62100XPvAibaEXe+/1KYXP+fweJyZsRuyxmIg, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
49.0,63276F86XPvAibaEXe9Hp2TeoSwCGTQ0JelgLNZH, NULL, NULL,25.0,Anh văn bổ túc, NULL,,,,,2016, CQUI,False
50.0,3A14E413XPvAibaEXe9uaaZ/YedHVADddd6jtCYd, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
51.0,19E0EE8FXPvAibaEXe97wmuqTYuV7djoRDmkvxKL, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CLC,True
52.0,59F24D89XPvAibaEXe+MMervxP1vAFgzvQQfMwEA, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
53.0,E747458DXPvAibaEXe96K1aB3B4cKQggKDkChiCr, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
54.0,1E458D16XPvAibaEXe92C4qaj9kvH6/S4CNEqhXl, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
55.0,8EDF0CBCXPvAibaEXe+eIy6TmCsZu0mu7wa7hWrc, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
56.0,C1C2D49CXPvAibaEXe+5AEinM7he3lYo4Yh3wzso, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
57.0,0E3CC85BXPvAibaEXe/7YVAxOsMwOq19C4IZbCNV, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
58.0,039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx, NULL, NULL,26.0,Anh văn 1, NULL,,,,,2016, CQUI,True
59.0,55164ECCXPvAibaEXe8NrxrmA741rzp6pr4JjBBO, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CLC,True
60.0,E5B72901XPvAibaEXe/04IiIK7okBVX65TwUbxSQ, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CLC,True
61.0,D77BA55CXPvAibaEXe97wmuqTYuV7ZzXGRkYG5x/, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CQUI,True
62.0,AF786B20XPvAibaEXe+MMervxP1vAEwg60BSZIR9, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CQUI,True
63.0,BDF344E0XPvAibaEXe97wmuqTYuV7e+YykH8Z97h, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CQUI,True
64.0,B4BB0B80XPvAibaEXe/sW+jVmHnQGrbV2aMBZxbl, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CQUI,True
65.0,D20DDE4FXPvAibaEXe8HWu5TvPOfaN9KOnh24+IZ, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CQUI,True
66.0,2B9BB841XPvAibaEXe/7YVAxOsMwOsVlHgtpSb0I, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CQUI,True
67.0,DB9FA965XPvAibaEXe904Wq1lYkfi1x2F3Ukc2Og, NULL, NULL,27.0,Anh văn 1, NULL,,,,,2016, CQUI,True
68.0,464EEB66XPvAibaEXe93t/fGOsRpnwKvZu4uHWUr, NULL, NULL,28.0,Anh văn 1, NULL,,,,,2016, CQUI,True
70.0,D6F5BEF7XPvAibaEXe+MMervxP1vAHvM1MwhSFCY, NULL, NULL,28.0,Anh văn 1, NULL,,,,,2016, CQUI,True
71.0,342257EAXPvAibaEXe/aqMXYDLKHR3SjNQBzsJDf, NULL, NULL,28.0,Anh văn 1, NULL,,,,,2016, CQUI,True
72.0,CE5AA641XPvAibaEXe/UTqPTjBxFVqOsv91ZMjHy, NULL, NULL,28.0,Anh văn 1, NULL,,,,,2016, CLC,True
73.0,8851E69BXPvAibaEXe+eIy6TmCsZuzduBAHXYnYj, NULL, NULL,28.0,Anh văn 1, NULL,,,,,2016, CQUI,True
74.0,32425155XPvAibaEXe/jd8ghaf1GTDJ2RkglGilP, NULL, NULL,28.0,Anh văn 1, NULL,,,,,2016, CQUI,True
75.0,E19EA87BXPvAibaEXe96K1aB3B4cKbTxUAPWhMbc, NULL, NULL,29.0,Anh văn 1, NULL,,,,,2016, CQUI,True
76.0,BD12868AXPvAibaEXe8OoiZ7Qg2eT6mcyIhrsW0w, NULL, NULL,29.0,Anh văn 1, NULL,,,,,2016, CQUI,True
77.0,8F1119D3XPvAibaEXe/04IiIK7okBcgSWyeIFMKt, NULL, NULL,29.0,Anh văn 1, NULL,,,,,2016, CQUI,True
78.0,BFF8DA2FXPvAibaEXe+5AEinM7he3tn9b67IIJsR, NULL, NULL,29.0,Anh văn 1, NULL,,,,,2016, CLC,True
79.0,2CFFC4A4XPvAibaEXe/UTqPTjBxFVmaKYeKYiNBw, NULL, NULL,29.0,Anh văn 1, NULL,,,,,2016, CQUI,True
80.0,A5C691C3XPvAibaEXe+MMervxP1vAHa9ZKGghhV0, NULL, NULL,30.0,Anh văn 1, NULL,,,,,2016, CQUI,True
81.0,408D0B61XPvAibaEXe/04IiIK7okBdYvNYs5MiFQ, NULL, NULL,30.0,Anh văn 1, NULL,,,,,2016, CQUI,True
82.0,6DE3DA07XPvAibaEXe+SI2uhC5CMEYmTe/FcwE7t, NULL, NULL,30.0,Anh văn 1, NULL,,,,,2016, CQUI,True
83.0,902895CAXPvAibaEXe9Hp2TeoSwCGUc05NETHA4y, NULL, NULL,30.0,Anh văn 1, NULL,,,,,2016, CQUI,True
84.0,0D56970AXPvAibaEXe+/1KYXP+fweMd3DfpYccg/, NULL, NULL,30.0,Anh văn 1, NULL,,,,,2016, CQUI,True
85.0,C6142704XPvAibaEXe88G96lR9q/HVMhBqOaOjJX, NULL, NULL,30.0,Anh văn 1, NULL,,,,,2016, CQUI,True
86.0,232946CFXPvAibaEXe/JhqMYLzzrR02+yvZ+pT+i, NULL, NULL,30.0,Anh văn 1, NULL,,,,,2016, CQUI,True
87.0,59884D21XPvAibaEXe8NrxrmA741r7Pe5nXtcI17, NULL, NULL,31.0,Anh văn 1, NULL,,,,,2016, CQUI,True
88.0,5E19BA75XPvAibaEXe96K1aB3B4cKVe+zJZEtwvN, NULL, NULL,31.0,Anh văn 1, NULL,,,,,2016, CQUI,True
89.0,6E786189XPvAibaEXe9N+b7C2VGPs5hGjFNP9OPe, NULL, NULL,31.0,Anh văn 1, NULL,,,,,2016, CQUI,True
90.0,33C734B5XPvAibaEXe+/1KYXP+fweL6Sr/n8oIDs, NULL, NULL,31.0,Anh văn 1, NULL,,,,,2016, CQUI,True
91.0,F400B823XPvAibaEXe92C4qaj9kvH9/66t3hNsRx, NULL, NULL,31.0,Anh văn 1, NULL,,,,,2016, CQUI,True
92.0,E32F85C4XPvAibaEXe8OoiZ7Qg2eTzHFJYtJfMmx, NULL, NULL,31.0,Anh văn 1, NULL,,,,,2016, CQUI,True
93.0,F934AFD4XPvAibaEXe/7YVAxOsMwOmFzQTm7dOKr, NULL, NULL,31.0,Anh văn 1, NULL,,,,,2016, CQUI,True
94.0,485EE734XPvAibaEXe9N+b7C2VGPs9muAnhMpjeF, NULL, NULL,32.0,Anh văn 1, NULL,,,,,2016, CQUI,True
95.0,ED123CFBXPvAibaEXe92C4qaj9kvHzy3ywisWZ4a, NULL, NULL,32.0,Anh văn 1, NULL,,,,,2016, CQUI,True
96.0,98885261XPvAibaEXe+fEAEfw3o+KtD8p1BCYU+u, NULL, NULL,32.0,Anh văn 1, NULL,,,,,2016, CNTN,True
97.0,1352A661XPvAibaEXe+eIy6TmCsZu+qEHG5QxOAG, NULL, NULL,32.0,Anh văn 1, NULL,,,,,2016, CNTN,True
98.0,7D6A1FB2XPvAibaEXe904Wq1lYkfi03olJ53wEUL, NULL, NULL,32.0,Anh văn 1, NULL,,,,,2016, CQUI,True
99.0,5ABD2AEBXPvAibaEXe8E8MfopOpLfpzgaVQKHwFD, NULL, NULL,33.0,Anh văn 1, NULL,,,,,2016, CQUI,True
100.0,72059684XPvAibaEXe9N+b7C2VGPs6rwW5yBcs12, NULL, NULL,33.0,Anh văn 1, NULL,,,,,2016, CQUI,True
101.0,C7C98961XPvAibaEXe/UTqPTjBxFVtKmLCQure30, NULL, NULL,33.0,Anh văn 1, NULL,,,,,2016, CQUI,True
102.0,5120F34CXPvAibaEXe8808q51BnmQvUpJUeNEyRf, NULL, NULL,33.0,Anh văn 1, NULL,,,,,2016, CQUI,True
103.0,FE6A40FDXPvAibaEXe+x/3KKGWxYH7Njftr2o+Ld, NULL, NULL,34.0,Anh văn 1, NULL,,,,,2016, CLC,True
104.0,26504393XPvAibaEXe97wmuqTYuV7f7oqpX5KaC9, NULL, NULL,34.0,Anh văn 1, NULL,,,,,2016, CLC,True
105.0,B2DF2BCBXPvAibaEXe/aqMXYDLKHR/Rvx1vG7yZ8, NULL, NULL,34.0,Anh văn 1, NULL,,,,,2016, CLC,True
106.0,51E5CFABXPvAibaEXe93t/fGOsRpnwBCueYR01nj, NULL, NULL,34.0,Anh văn 1, NULL,,,,,2016, CQUI,True
107.0,F473C1ABXPvAibaEXe/jd8ghaf1GTNdb+cfjD9JK, NULL, NULL,35.0,Anh văn 1, NULL,,,,,2016, CQUI,True
108.0,EA5C3600XPvAibaEXe96K1aB3B4cKYcgi+qudqoq, NULL, NULL,35.0,Anh văn 1, NULL,,,,,2016, CQUI,True
109.0,09EA1246XPvAibaEXe9N+b7C2VGPs7VmmYGpq5S4, NULL, NULL,35.0,Anh văn 1, NULL,,,,,2016, CLC,True
110.0,271B286AXPvAibaEXe9CFhTkHod3yfY0OnaNvlXt, NULL, NULL,35.0,Anh văn 1, NULL,,,,,2016, CQUI,True
111.0,A087B8CAXPvAibaEXe96K1aB3B4cKeZgLP7Zudq0, NULL, NULL,35.0,Anh văn 1, NULL,,,,,2016, CQUI,True
112.0,2E7766A4XPvAibaEXe8cJKtXZaLmvYU52KoCieBc, NULL, NULL,36.0,Anh văn 1, NULL,,,,,2016, CQUI,True
113.0,E4A8F3C3XPvAibaEXe8OoiZ7Qg2eT+Jy+LbBom1V, NULL, NULL,36.0,Anh văn 1, NULL,,,,,2016, CQUI,True
114.0,843B6F23XPvAibaEXe93t/fGOsRpn9x0GlU2wsFG, NULL, NULL,37.0,Anh văn 1, NULL,,,,,2016, CQUI,True
115.0,F74A82C2XPvAibaEXe9uaaZ/YedHVBLMZpuFaBWv, NULL, NULL,37.0,Anh văn 1, NULL,,,,,2016, CLC,True
116.0,9FBBFEDAXPvAibaEXe9uaaZ/YedHVDIAvlASfm3N, NULL, NULL,37.0,Anh văn 1, NULL,,,,,2016, CQUI,True
117.0,DB711988XPvAibaEXe8E8MfopOpLfuvKyaJThdNU, NULL, NULL,37.0,Anh văn 1, NULL,,,,,2016, CQUI,True
118.0,5A8FC80AXPvAibaEXe9Hp2TeoSwCGQOTvUMD2sdV, NULL, NULL,37.0,Anh văn 1, NULL,,,,,2016, CLC,True
119.0,075CAE0AXPvAibaEXe/7jEMhYBA6GRpJvL6kzgyG, NULL, NULL,37.0,Anh văn 1, NULL,,,,,2016, CQUI,True
120.0,DD6DDD9BXPvAibaEXe8808q51BnmQgYlXLk+6Sms, NULL, NULL,38.0,Anh văn 1, NULL,,,,,2016, CQUI,True
121.0,461F878CXPvAibaEXe88G96lR9q/HUNPesL1mp7V, NULL, NULL,38.0,Anh văn 1, NULL,,,,,2016, CQUI,True
122.0,5D84A808XPvAibaEXe/04IiIK7okBVnVDuMtAOeG, NULL, NULL,38.0,Anh văn 1, NULL,,,,,2016, CNTN,True
123.0,12C6CEBDXPvAibaEXe8HWu5TvPOfaHJ8WggqhfpV, NULL, NULL,38.0,Anh văn 1, NULL,,,,,2016, CQUI,True
124.0,47C7F0D8XPvAibaEXe8cJKtXZaLmvW7+9X9I1l88, NULL, NULL,39.0,Anh văn 1, NULL,,,,,2016, CQUI,True
125.0,62CB9074XPvAibaEXe+5AEinM7he3lQjjwdeAKvG, NULL, NULL,39.0,Anh văn 1, NULL,,,,,2016, CLC,True
126.0,63850E1DXPvAibaEXe9uaaZ/YedHVMbH1bo0wP7i, NULL, NULL,40.0,Anh văn 1, NULL,,,,,2016, CQUI,True
127.0,BCD2B356XPvAibaEXe/UTqPTjBxFVlHUdLueHP1K, NULL, NULL,40.0,Anh văn 1, NULL,,,,,2016, CQUI,True
128.0,ED940AE5XPvAibaEXe/sW+jVmHnQGmpcv505KQtY, NULL, NULL,40.0,Anh văn 1, NULL,,,,,2016, CQUI,True
129.0,0DB26593XPvAibaEXe+fEAEfw3o+Koj1aryhxwXB, NULL, NULL,42.0,Anh văn 1, NULL,,,,,2016, CLC,True
130.0,37E8854FXPvAibaEXe93t/fGOsRpn2pIVjPlvyxA, NULL, NULL,42.0,Anh văn 1, NULL,,,,,2016, CQUI,True
131.0,260F89E3XPvAibaEXe904Wq1lYkfi3SWlgS7D671, NULL, NULL,43.0,Anh văn 1, NULL,,,,,2016, CQUI,True
132.0,50710A05XPvAibaEXe+5AEinM7he3i2ud45eDBqh, NULL, NULL,43.0,Anh văn 1, NULL,,,,,2016, CNTN,True
133.0,F0261509XPvAibaEXe+eIy6TmCsZu0RLWC8H9A9f, NULL, NULL,43.0,Anh văn 1, NULL,,,,,2016, CQUI,True
134.0,B280054FXPvAibaEXe/aqMXYDLKHRx1deGanA5Uq, NULL, NULL,44.0,Anh văn 1, NULL,,,,,2016, CQUI,True
135.0,88F1979DXPvAibaEXe9uaaZ/YedHVLTpfQz3FFXG, NULL, NULL,46.0,Anh văn 1, NULL,,,,,2016, CQUI,True
136.0,962B588DXPvAibaEXe8808q51BnmQv7uo+CT+yEW, NULL, NULL,47.0,Anh văn 1, NULL,,,,,2016, CLC,True
137.0,8A06BCB7XPvAibaEXe+/1KYXP+fweAfbWbYeLDhP, NULL, NULL,48.0,Anh văn 1, NULL,,,,,2016, CQUI,True
138.0,FC15E78FXPvAibaEXe92C4qaj9kvH9Xq+b0SgU4o, NULL, NULL,49.0,Anh văn 1, NULL,,,,,2016, CQUI,True
139.0,CD72A72AXPvAibaEXe/sW+jVmHnQGj7x1GbslKUs, NULL, NULL,50.0,Anh văn 1, NULL,,,,,2016, CQUI,True
140.0,82778F75XPvAibaEXe93t/fGOsRpn50R4yA7HNuJ, NULL, NULL,51.0,Anh văn 1, NULL,,,,,2016, CLC,True
141.0,9E8D0CE7XPvAibaEXe+/1KYXP+fweLFNn49rOazP, NULL, NULL,51.0,Anh văn 1, NULL,,,,,2016, CLC,True
142.0,017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko, NULL, NULL,51.0,Anh văn 1, NULL,,,,,2016, CLC,True
143.0,E5DDE060XPvAibaEXe/7YVAxOsMwOgzKuxoPANYq, NULL, NULL,52.0,Anh văn 1, NULL,,,,,2016, CQUI,True
144.0,A3B55E76XPvAibaEXe/7YVAxOsMwOlSm2jrgLdri, NULL, NULL,53.0,Anh văn 1, NULL,,,,,2016, CQUI,True
145.0,F9F00F9BXPvAibaEXe/7YVAxOsMwOkCUOyzVAIdc, NULL, NULL,54.0,Anh văn 1, NULL,,,,,2016, CQUI,True
146.0,EF351515XPvAibaEXe9CFhTkHod3yS5z1VDkCy75, NULL, NULL,54.0,Anh văn 1, NULL,,,,,2016, CLC,True
147.0,FA26D15DXPvAibaEXe+x/3KKGWxYH5f+BLhTctEV, NULL, NULL,55.0,Anh văn 2, NULL,,,,,2016, CQUI,True
148.0,77AA22BDXPvAibaEXe/5h0vZw0NHLw1SiBz29uk2, NULL, NULL,56.0,Anh văn 2, NULL,,,,,2016, CNTN,True
149.0,41879EDBXPvAibaEXe8HWu5TvPOfaMIlvMjXTKxE, NULL, NULL,58.0,Anh văn 2, NULL,,,,,2016, CQUI,True
150.0,7605FEEEXPvAibaEXe8808q51BnmQv/RCCjB4N+s, NULL, NULL,59.0,Anh văn 2, NULL,,,,,2016, CQUI,True
151.0,92D79C05XPvAibaEXe+x/3KKGWxYH9g/4fJgJYs6, NULL, NULL,60.0,Anh văn 2, NULL,,,,,2016, CLC,True
152.0,62BFFE2EXPvAibaEXe/9ugxkUZcLfPe37BSUxSyd, NULL, NULL,0.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
153.0,2D9401D8XPvAibaEXe9wxm0WjsXoKi8Gkvb5OPeR, NULL, NULL,11.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
154.0,59F1708DXPvAibaEXe+dMotnUFI9LS1TYt9joenk, NULL, NULL,11.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CLC,False
155.0,EA1D81AFXPvAibaEXe/RnFf25EKRr7/Z28Po+End, NULL, NULL,13.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
156.0,9FA1AF84XPvAibaEXe9JJ0DEqozv6EHh9Z2rxnaz, NULL, NULL,14.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
161.0,192E4235XPvAibaEXe92Jin2iMtHChKANAao8ZUk, NULL, NULL,15.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
164.0,CFD92B12XPvAibaEXe8NrxrmA741rwjdaY15+2D+, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CLC,False
165.0,61180195XPvAibaEXe9gcLLHJLBBnR5wpoU3apq+, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CLC,False
166.0,02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CLC,False
167.0,4152FE50XPvAibaEXe9G2n4phUxISJmNzq1KHgOO, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CLC,False
168.0,B5B671BFXPvAibaEXe8Ve7JqRML75doVJ2SaEcz4, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
169.0,BA8D8AFEXPvAibaEXe+6DwsvcvouVfTF+jYi4dQZ, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
170.0,973154C3XPvAibaEXe+Y2Dmraxe1iYT8oxNVsVdy, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CLC,False
172.0,D9B44B1CXPvAibaEXe9ASX2YKqk5Aeh+/OS8HqTX, NULL, NULL,16.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
173.0,5F015460XPvAibaEXe/5h0vZw0NHL3rTJlBbR6W0, NULL, NULL,17.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CQUI,False
174.0,32180497XPvAibaEXe/t7ClCI88v7sGEqCvtpJrq, NULL, NULL,17.0,Anh văn bổ túc, NULL,,, AVSC,,2016, CLC,False
