id,mssv,namsinh,gioitinh,noisinh,lopsh,khoa,hedt,khoahoc,chuyennganh2,tinhtrang,diachi_tinhtp,namkhoahoc
18863.0,1D37D345XPvAibaEXe9Zp44TyFcBSAN7u3B08mRX,2001.0,1.0,Bình Thuận, KHMT2019, KHMT, CQUI,14, D480101,1.0,Tỉnh Bình Thuận,2019
18864.0,7C75D925XPvAibaEXe9Zp44TyFcBSARHrqyLyabd,2000.0,1.0,Quảng Ngãi, KHTN2019, KHMT, CNTN,14, D480101,1.0,Tỉnh Quảng Ngãi,2019
18865.0,297CC4CCXPvAibaEXe9Zp44TyFcBSM+WoXMqOj0T,2001.0,1.0,Tây Ninh, MMCL2019.2, MMT&TT, CLC,14,7480102,5.0,Tỉnh Tây Ninh,2019
18866.0,B7CBBB20XPvAibaEXe9Zp44TyFcBSE1OIknMMKnV,2001.0,1.0,Thành phố Hồ Chí Minh, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Huyện Ba Tri,2019
18867.0,E835A45FXPvAibaEXe9Zp44TyFcBSFD25Xop3i7v,2001.0,1.0,Bà Rịa - Vũng Tàu, MTCL2019.3, KTMT, CLC,14, D520214,1.0,Tỉnh Bà Rịa - Vũng Tàu,2019
18868.0,9EF1A2B5XPvAibaEXe9Zp44TyFcBSH+N78ImGkYj,2001.0,1.0,Đồng Nai, HTTT2019, HTTT, CQUI,14, D480104,1.0,Huyện Trảng Bom,2019
18872.0,A241B997XPvAibaEXe/mDljlbns7jXY14SxuNGfI,2001.0,0.0,Quảng Ngãi, TMCL2019.2, HTTT, CLC,14, D52480104,1.0,Huyện Mộ Đức,2019
18873.0,AB8E169AXPvAibaEXe/mDljlbns7jUpGfKeFSBW7,2001.0,1.0,Thành phố Hồ Chí Minh, ATTN2019, MMT&TT, KSTN,14, D480299,1.0,Hà Tĩnh,2019
18874.0,EE2FDA0CXPvAibaEXe/mDljlbns7jS3UM2L2H5qQ,2001.0,1.0,Bình Phước, KTMT2019, KTMT, CQUI,14, D520214,1.0,Xã Tân Khai,2019
18875.0,98E41921XPvAibaEXe/mDljlbns7jTGo/RiSGy3r,2001.0,1.0,Cà Mau, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Bình Dương,2019
18876.0,1765B137XPvAibaEXe/mDljlbns7jV1LMXD7TMdY,2001.0,1.0,Quảng Nam, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Quảng Nam,2019
18877.0,BAB70030XPvAibaEXe/mDljlbns7jR7iZhkfWuAz,2001.0,1.0,Đắk Lắk, KTMT2019, KTMT, CQUI,14, D520214,1.0,Huyện Đắk R\'Lấp,2019
18878.0,9CEE9B1FXPvAibaEXe/mDljlbns7jYi6W6uei3rB,2001.0,1.0,Hà Tĩnh, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,1.0,Tỉnh Hà Tĩnh,2019
18879.0,C0A6A6C2XPvAibaEXe9t3AmSkf7FuRIVQ4M62HLZ,2001.0,1.0,Thành phố Hồ Chí Minh, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Bà Rịa - Vũng Tàu,2019
18880.0,38DAFA34XPvAibaEXe9t3AmSkf7FuaFg1NEYAf7f,2001.0,1.0,Bình Thuận, CNTT2019, KTTT, CQUI,14, D480201,1.0,Tỉnh Bình Thuận,2019
18881.0,A997E774XPvAibaEXe9t3AmSkf7FuUAtuJvYypr6,2001.0,1.0,Long An, MMCL2019.2, MMT&TT, CLC,14,7480102,1.0,Tỉnh Long An,2019
18882.0,5B668B3AXPvAibaEXe9t3AmSkf7FuTxknV0OTgbU,2001.0,1.0,Bình Định, MTCL2019.3, KTMT, CLC,14, D520214,1.0,Bình Định,2019
18883.0,6E35E958XPvAibaEXe9t3AmSkf7Fuaoy8dqN7u1W,2001.0,1.0,Bình Thuận, KHCL2019.3, KHMT, CLC,14, D480101,1.0,Tỉnh Bình Thuận,2019
18884.0,F577A35EXPvAibaEXe9t3AmSkf7FuYFC7MZDGQs9,2001.0,1.0,Đồng Nai, MMTT2019, MMT&TT, CQUI,14,7480102,1.0,Huyện Trảng Bom,2019
18886.0,C3C9E909XPvAibaEXe9t3AmSkf7FuWEg5ayMgk79,2001.0,1.0,Cà Mau, HTCL2019.2, HTTT, CLC,14, D480104,1.0,Thành phố Cà Mau,2019
18888.0,DFF05B73XPvAibaEXe9t3AmSkf7FuZllpVb2cw7l,2001.0,1.0,Khánh Hòa, KHCL2019.3, KHMT, CLC,14, D480101,1.0,Thành phố Nha Trang,2019
18889.0,1A2BD4BAXPvAibaEXe9kTkrXS1NJ3lS8WWqebCRI,2001.0,1.0,Đồng Nai, KHMT2019, KHMT, CQUI,14, D480101,1.0,Huyện Cẩm Mỹ,2019
18890.0,23F6C7C2XPvAibaEXe9kTkrXS1NJ3t0tb6CtiCoo,2001.0,1.0,Bình Định, MMCL2019.2, MMT&TT, CLC,14,7480102,1.0,Tỉnh Bình Định,2019
18891.0,43BFAA25XPvAibaEXe9kTkrXS1NJ3guNsji9AFUU,2001.0,1.0,Bình Định, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,2.0,Tỉnh Bình Định,2019
18892.0,952ACBDAXPvAibaEXe9kTkrXS1NJ3q3+pQFFwULi,2001.0,1.0,Khánh Hòa, KTPM2019, CNPM, CQUI,14, D480103,1.0,Tỉnh Khánh Hòa,2019
18893.0,657F855FXPvAibaEXe9kTkrXS1NJ3ie83CuOqsXv,2001.0,1.0,Thành phố Hồ Chí Minh, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,2.0,Tỉnh Đồng Nai,2019
18894.0,45F9BE50XPvAibaEXe9kTkrXS1NJ3kNPMnkQ/DRU,2000.0,1.0,Thành phố Hồ Chí Minh, MTCL2019.3, KTMT, CLC,14, D520214,1.0,Thành phố Hồ Chí Minh,2019
18895.0,B633C31DXPvAibaEXe9kTkrXS1NJ3v/8PclQ0brl,2001.0,1.0,Đồng Nai, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Đồng Nai,2019
18896.0,618ACD12XPvAibaEXe9kTkrXS1NJ3slIrvJy3jhV,2001.0,1.0,Bình Định, CNTT2019, KTTT, CQUI,14, D480201,1.0,Tỉnh Bình Định,2019
18897.0,B008754EXPvAibaEXe9kTkrXS1NJ3jCvujMCY185,2001.0,1.0,Bà Rịa - Vũng Tàu, CTTT2019.2, HTTT, CTTT,14, D480104,1.0,Huyện Tân Thành,2019
18898.0,829491C4XPvAibaEXe9kTkrXS1NJ3gq5xKPjX9v7,2001.0,1.0,Gia Lai, CNTT2019, KTTT, CQUI,14, D480201,1.0,Tỉnh Gia Lai,2019
18899.0,F54BBC03XPvAibaEXe+23cTkF8qTD1LeEmtNIKG1,2001.0,1.0,Bà Rịa - Vũng Tàu, TMCL2019.2, HTTT, CLC,14, D52480104,1.0,Tỉnh Bà Rịa - Vũng Tàu,2019
18901.0,B07ED585XPvAibaEXe+23cTkF8qTD4faFzPs8p2w,2001.0,1.0,Hà Tĩnh, KHMT2019, KHMT, CQUI,14, D480101,1.0,Tỉnh Hà Tĩnh,2019
18902.0,6C8E06F5XPvAibaEXe+23cTkF8qTDyKP9p+tZ6L2,2001.0,1.0,Đắk Nông, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,1.0,Tỉnh Đắk Nông,2019
18903.0,95D9C111XPvAibaEXe+23cTkF8qTDytv7d4uUJ3i,2000.0,0.0,Quảng Trị, MTCL2019.3, KTMT, CLC,14, D520214,1.0,Quảng Trị,2019
18904.0,3672838EXPvAibaEXe+23cTkF8qTDytadlIBqcY0,2001.0,1.0,Đồng Nai, KHCL2019.3, KHMT, CLC,14, D480101,1.0,Thành phố Biên Hòa,2019
18905.0,9A252138XPvAibaEXe+23cTkF8qTDwOXkV65zBwE,2001.0,1.0,Lâm Đồng, MMCL2019.2, MMT&TT, CLC,14,7480102,2.0,Tỉnh Lâm Đồng,2019
18906.0,480B4400XPvAibaEXe+23cTkF8qTD/XNlqn3ORya,2001.0,1.0,Quảng Trị, CNTT2019, KTTT, CQUI,14, D480201,1.0,Thị xã Dĩ An,2019
18907.0,33F9FB5DXPvAibaEXe+23cTkF8qTD1my+STH3XIx,2001.0,1.0,Tiền Giang, ATTT2019, MMT&TT, CQUI,14, D480299,1.0,Tỉnh Tiền Giang,2019
18908.0,9602D38FXPvAibaEXe+23cTkF8qTD7zKM/8z9CwC,2001.0,1.0,Thành phố Hồ Chí Minh, HTTT2019, HTTT, CQUI,14, D480104,2.0,Thành phố Hồ Chí Minh,2019
18909.0,B6E01B4BXPvAibaEXe8yk/xNTBUkzkMztkUIPr0O,2001.0,1.0,Bình Định, HTTT2019, HTTT, CQUI,14, D480104,1.0,Tỉnh Bình Định,2019
18911.0,FECCE3CBXPvAibaEXe8yk/xNTBUkzhOmJ6whA+Le,2001.0,1.0,Thừa Thiên Huế, KHCL2019.3, KHMT, CLC,14, D480101,5.0,Huyện Phong Điền,2019
18912.0,B0D1526BXPvAibaEXe8yk/xNTBUkzoHmeg2YZ4Eg,2001.0,1.0,Thanh Hóa, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,1.0,Tỉnh Bình Dương,2019
18913.0,26AA5175XPvAibaEXe8yk/xNTBUkzhrXFkc0Z14U,2001.0,1.0,Thành phố Hồ Chí Minh, HTCL2019.2, HTTT, CLC,14, D480104,1.0,Thành phố Hồ Chí Minh,2019
18914.0,D7601820XPvAibaEXe8yk/xNTBUkzjboTdoYJuYx,2001.0,1.0,Nghệ An, KHDL2019, KTTT, CQUI,14,7480109,4.0,Tỉnh Nghệ An,2019
18915.0,1EE3D2C7XPvAibaEXe8yk/xNTBUkzvfJ9t/N1OCs,2001.0,1.0,Bình Định, KHMT2019, KHMT, CQUI,14, D480101,1.0,Huyện Krông Pa,2019
18916.0,18095340XPvAibaEXe8yk/xNTBUkzrAIztHB4ZIS,2001.0,1.0,Nghệ An, KHMT2019, KHMT, CQUI,14, D480101,2.0,Tỉnh Nghệ An,2019
18917.0,6F3A63E5XPvAibaEXe8yk/xNTBUkzuZbp/lvyXjC,2001.0,1.0,Hà Tĩnh, HTTT2019, HTTT, CQUI,14, D480104,1.0,Tỉnh Hà Tĩnh,2019
18918.0,B2F6A409XPvAibaEXe8yk/xNTBUkzgOmkB/j623j,2001.0,1.0,Đắk Lắk, TMCL2019.2, HTTT, CLC,14, D52480104,1.0,Tỉnh Đắk Lắk,2019
18919.0,0D9B1AFEXPvAibaEXe94sdmGYWWl8FiV/WYzNqOC,2001.0,1.0,Gia Lai, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Gia Lai,2019
18920.0,EEA07E87XPvAibaEXe94sdmGYWWl8FV3PndH7Ouw,2001.0,1.0,Quảng Nam, ATCL2019.2, MMT&TT, CLC,14, D480299,2.0,Huyện Núi Thành,2019
18921.0,F79B4135XPvAibaEXe94sdmGYWWl8PG0kBqTNjFS,2001.0,1.0,Kon Tum, MTCL2019.3, KTMT, CLC,14, D520214,1.0,Tỉnh Kon Tum,2019
18922.0,935D1AC7XPvAibaEXe94sdmGYWWl8NWfMuivPji8,2001.0,1.0,Đồng Nai, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Đồng Nai,2019
18923.0,8D39F40BXPvAibaEXe94sdmGYWWl8O09r7CM2IUA,2001.0,1.0,Sóc Trăng, MMCL2019.2, MMT&TT, CLC,14,7480102,1.0,Tỉnh Sóc Trăng,2019
18924.0,1A5DD1BBXPvAibaEXe94sdmGYWWl8JWjrLjITAgk,2001.0,1.0,Phú Yên, HTTT2019, HTTT, CQUI,14, D480104,1.0,Tỉnh Phú Yên,2019
18925.0,81EFF3DDXPvAibaEXe94sdmGYWWl8GQkMrRZg639,2001.0,1.0,Bình Thuận, KTPM2019, CNPM, CQUI,14, D480103,1.0,Tỉnh Bình Thuận,2019
18926.0,BCE7405BXPvAibaEXe94sdmGYWWl8JTjP2tdZ3U0,2001.0,1.0,Thành phố Hồ Chí Minh, CNCL2019.3, KTTT, CLC,14, 7480201_CLCN,1.0,Thành phố Hồ Chí Minh,2019
18927.0,56FC14A8XPvAibaEXe94sdmGYWWl8Jv1bLLMKazd,2001.0,1.0,Đồng Nai, PMCL2019.3, CNPM, CLC,14, D480103,1.0,Tỉnh Đồng Nai,2019
18929.0,794F4933XPvAibaEXe8YD29zP3MXDwVlPj1MfWns,2001.0,1.0,Bình Phước, HTCL2019.2, HTTT, CLC,14, D480104,1.0,Thành phố Đà Nẵng,2019
18930.0,37386930XPvAibaEXe8YD29zP3MXD5cuRYwR423A,2001.0,1.0,Thành phố Hồ Chí Minh, HTTT2019, HTTT, CQUI,14, D480104,1.0,Thành phố Hồ Chí Minh,2019
18931.0,55245434XPvAibaEXe8YD29zP3MXDykXhpONKEMH,2001.0,1.0,Bình Phước, MMCL2019.2, MMT&TT, CLC,14,7480102,1.0,Tỉnh Bình Phước,2019
18932.0,FEA6DCEEXPvAibaEXe8YD29zP3MXD+T794TeH8FF,2001.0,1.0,Thành phố Hồ Chí Minh, TMCL2019.2, HTTT, CLC,14, D52480104,1.0,Thành phố Hồ Chí Minh,2019
18933.0,2625E16EXPvAibaEXe8YD29zP3MXD3gDEwa8nuHp,2001.0,1.0,Đắk Lắk, KHMT2019, KHMT, CQUI,14, D480101,1.0,Tỉnh Đắk Lắk,2019
18934.0,27A2C55BXPvAibaEXe8YD29zP3MXD6Kixuku5+Qt,2001.0,0.0,Bình Dương, KHCL2019.3, KHMT, CLC,14, D480101,1.0,Huyện Thạnh Phú,2019
18935.0,7D62B87EXPvAibaEXe8YD29zP3MXD5VNeo4qOJje,2001.0,1.0,Quảng Nam, CNTT2019, KTTT, CQUI,14, D480201,1.0,Huyện Xuyên Mộc,2019
18936.0,A5AB73E4XPvAibaEXe8YD29zP3MXD7YtT9PjzOVY,2001.0,1.0,Khánh Hòa, KHMT2019, KHMT, CQUI,14, D480101,1.0,Tỉnh Khánh Hòa,2019
